Symbol,Name
ALSAX,ALGER SMALL CAP GROWTH A
ACRNX,Columbia Acorn Inst
FCNTX,Fidelity Contrafund
FMAGX,Fidelity Magellan
FOCPX,Fidelity OTC
FKGRX,Franklin Growth A
OPOCX,Invesco Oppenheimer Discovery
JDMAX,JANUS HENDERSON ENTERPRISE A
JDCAX,JANUS HENDERSON FORTY A
JACAX,Janus Henderson VIT Forty Inst
LAGWX,Lord Abbett Developing Growth
LGLAX,Lord Abbett Growth Leaders A
MFEGX,MFS Growth A
LGOAX,Miller Opportunity A
POAGX,PRIMECAP Odyssey Aggressive Growth
PRNHX,T. Rowe Price New Horizons
VPCCX,Vanguard PRIMECAP Core Inv
WGROX,Wasatch Core Growth
WMICX,Wasatch Micro Cap
SGRAX,WELLS FARGO GROWTH A
FFTY,IBD 50 ETF
